FID,GDS_NAME,STATION,AREA,PERIMETER,COUNTERS_,COUNTERS_I,COUNTER,TYPE,COMBNUMS,Group,TYPE_1,Cycle,CNTRNUM,Town,Location
73,CNTR:015054,015054,0,0,3803,3803,82015054,82,"82015054: 81015014, 81015013",2015,L5,2,82015054.000000000000000,ANDOVER,NH 11 (FRANKLIN HWY) EB-WB OF HORSESHOE POND RD
74,CNTR:011085,011085,0,0,3804,3804,62011085,62,62011085,2015,L4,2,62011085.000000000000000,ALTON,NH 28 (SUNCOOK VALLEY RD) SOUTH OF NH 11
75,CNTR:163023:706,163023,0,0,3806,3806,82163023,82,82163023,2013,L4,3,82163023.000000000000000,FRANKLIN,WEST BOW ST WEST OF SANGER ST
76,CNTR:163061:706,163061,0,0,3807,3807,82163061,82,82163061,0, ,0,82163061.000000000000000,FRANKLIN, 
77,CNTR:163064:706,163064,0,0,3808,3808,82163064,82,82163064,2013,L4,3,82163064.000000000000000,FRANKLIN,US 3/NH 11 (CENTRAL ST) WEST OF SCHOOL ST
78,CNTR:163068:706,163068,0,0,3809,3809,82163068,82,82163068,2013,L4,3,82163068.000000000000000,FRANKLIN,NH 127 (VICTORY DR) SOUTH OF RACINE ST
79,CNTR:163054:706,163054,0,0,3810,3810,82163054,82,82163054,0, ,0,82163054.000000000000000,FRANKLIN, 
80,CNTR:163053:706,163053,0,0,3811,3811,82163053,82,82163053,2013,L4,3,82163053.000000000000000,FRANKLIN,US 3/NH 11/NH 127 (CENTRAL ST) OVER MERRIMACK RIVER
81,CNTR:163055:706,163055,0,0,3812,3812,82163055,82,82163055,2015,L4,2,82163055.000000000000000,FRANKLIN,NH 3A/NH 11 (NO. MAIN ST) NORTH OF CHANCE POND RD
82,CNTR:163080:706,163080,0,0,3813,3813,82163080,82,"82163080: 81163027, 81163026",2014,L3,1,82163080.000000000000000,FRANKLIN,CHANCE POND RD WEST OF NH 3A/NH 11 (EB-WB) (81163026-81163027)
83,CNTR:163051:706,163051,0,0,3814,3814,62163051,62,62163051,2014,L3,1,62163051.000000000000000,FRANKLIN,US 3/NH 11 (CENTRAL ST) AT TILTON TL (SB-NB) (61163087-61163088)
84,CNTR:163082:706,163082,0,0,3815,3815,82163082,82,82163082,2015,L4,2,82163082.000000000000000,FRANKLIN,CROSS MILL RD OVER WINNIPESAUKEE RIVER
85,CNTR:163056:706,163056,0,0,3816,3816,82163056,82,82163056,0, ,0,82163056.000000000000000,FRANKLIN, 
86,CNTR:163058:706,163058,0,0,3817,3817,82163058,82,82163058,2013,L4,3,82163058.000000000000000,FRANKLIN,SANBORN ST NORTH OF CENTRAL ST
87,CNTR:163065:706,163065,0,0,3818,3818,82163065,82,82163065,2013,L4,3,82163065.000000000000000,FRANKLIN,US 3/NH 11 (CENTRAL ST) EAST OF PROSPECT ST
88,CNTR:163059:706,163059,0,0,3819,3819,82163059,82,"82163059: 81163035, 81163034",2014,L3,1,82163059.000000000000000,FRANKLIN,PROSPECT ST SOUTH OF US 3/NH 11 (CENTRAL ST) (SB-NB) (81163034-163035)
89,CNTR:163078:706,163078,0,0,3820,3820,82163078,82,"82163078: 81163029, 81163028",2015,L3,2,82163078.000000000000000,FRANKLIN,SCHOOL ST WEST OF WOODRIDGE RD (EB-WB) (81163028-81163029)
90,CNTR:163069:706,163069,0,0,3821,3821,82163069,82,82163069,2013,L4,3,82163069.000000000000000,FRANKLIN,PLEASANT ST WEST OF OAK ST
91,CNTR:163071:706,163071,0,0,3822,3822,82163071,82,82163071,0, ,0,82163071.000000000000000,FRANKLIN, 
92,CNTR:163070:706,163070,0,0,3823,3823,82163070,82,82163070,0, ,0,82163070.000000000000000,FRANKLIN, 
93,CNTR:163079:706,163079,0,0,3824,3824,82163079,82,82163079,2013,L4,3,82163079.000000000000000,FRANKLIN,ORCHARD ST WEST OF ELM ST
94,CNTR:163060:706,163060,0,0,3825,3825,82163060,82,"82163060: 81163033, 81163032",2015,L3,2,82163060.000000000000000,FRANKLIN,NH 127 (W. BOW ST) NORTH OF US 3/NH 11 (CENTRAL ST) (SB-NB) (81163032-8116*
95,CNTR:343046,343046,0,0,3829,3829,82343046,82,82343046,0, ,0,82343046.000000000000000,NORTHFIELD, 
96,CNTR:451076,451076,0,0,3830,3830,82451076,82,82451076,2013,L4,3,82451076.000000000000000,TILTON,US 3/NH 11 (W. MAIN ST) WEST OF PARK ST
97,CNTR:451082,451082,0,0,3831,3831,82451082,82,82451082,2015,L4,2,82451082.000000000000000,TILTON,SCHOOL ST OVER STATE OF NH RAILROAD
98,CNTR:451083,451083,0,0,3832,3832,82451083,82,82451083,2015,L4,2,82451083.000000000000000,TILTON,BRIDGE ST OVER WINNIPESAUKEE RIVER
99,CNTR:451021,451021,0,0,3833,3833,22451021,22,22451021,2013,L4,3,22451021.000000000000000,TILTON,US 3/NH 11/NH 132 (EAST MAIN ST) EAST OF BITTERN LANE
100,CNTR:02:039001,039001,0,0,3834,3834,02039001,02,02039001,0, ,0,2039001.000000000000000,,
101,CNTR:015052,015052,0,0,3835,3835,82015052,82,82015052,0, ,0,82015052.000000000000000,ANDOVER, 
102,CNTR:015066,015066,0,0,3836,3836,82015066,82,82015066,2014,L4,1,82015066.000000000000000,ANDOVER,DYERS CROSSING RD OVER SUCKER BROOK
103,CNTR:015050,015050,0,0,3837,3837,82015050,82,82015050,2015,L4,2,82015050.000000000000000,ANDOVER,NH 11 (FRANKLIN HWY) EAST OF SAM HILL RD
104,CNTR:015065,015065,0,0,3838,3838,82015065,82,82015065,2014,L4,1,82015065.000000000000000,ANDOVER,MAPLE ST OVER NH RAILROAD
105,CNTR:015055,015055,0,0,3839,3839,82015055,82,82015055,0, ,0,82015055.000000000000000,ANDOVER, 
106,CNTR:111052,111052,0,0,3840,3840,62111052,62,62111052,2015,L4,2,62111052.000000000000000,DANBURY,US 4 AT WILMOT TL
107,CNTR:111063,111063,0,0,3841,3841,82111063,82,82111063,2015,L4,2,82111063.000000000000000,DANBURY,JACK WELLS RD OVER FRAZIER BROOK
108,CNTR:111061,111061,0,0,3842,3842,82111061,82,82111061,2015,L4,2,82111061.000000000000000,DANBURY,WALKER BROOK RD OVER WALKER BROOK
109,CNTR:111062,111062,0,0,3843,3843,82111062,82,82111062,2015,L4,2,82111062.000000000000000,DANBURY,FRAZIER RD OVER FRAZIER BROOK
110,CNTR:111060,111060,0,0,3844,3844,82111060,82,82111060,2015,L4,2,82111060.000000000000000,DANBURY,WALKER BROOK RD WEST OF STEWART RD
111,CNTR:111051,111051,0,0,3845,3845,82111051,82,82111051,2015,L4,2,82111051.000000000000000,DANBURY,US 4 SOUTH OF NH 104
112,CNTR:111059,111059,0,0,3846,3846,82111059,82,82111059,2015,L4,2,82111059.000000000000000,DANBURY,RAGGED MOUNTAIN RD OVER BOG POND
113,CNTR:111058,111058,0,0,3847,3847,82111058,82,82111058,2015,L4,2,82111058.000000000000000,DANBURY,EASTERN DISTRICT RD OVER SMITH RIVER
114,CNTR:163077:706,163077,0,0,3848,3848,82163077,82,82163077,2014,L4,1,82163077.000000000000000,FRANKLIN,KENDALL ST SOUTH OF SANBORN ST
115,CNTR:163057:706,163057,0,0,3849,3849,82163057,82,82163057,0, ,0,82163057.000000000000000,FRANKLIN, 
116,CNTR:163085:706,163085,0,0,3850,3850,82163085,82,82163085,2015,L4,2,82163085.000000000000000,FRANKLIN,CARR ST OVER CHANCE POND BROOK
117,CNTR:163075:706,163075,0,0,3851,3851,82163075,82,"82163075: 81163031, 81163030",2015,L3,2,82163075.000000000000000,FRANKLIN,NH 11 (WEBSTER LAKE RD) WEST OF WEBSTER AVE (EB-WB) (81163030-81163031)
118,CNTR:163076:706,163076,0,0,3852,3852,82163076,82,82163076,2014,L4,1,82163076.000000000000000,FRANKLIN,NH 3A (HILL RD) SOUTH OF GRIFFIN RD
119,CNTR:163083:706,163083,0,0,3853,3853,82163083,82,"82163083: 81163025, 81163024",2014,L3,1,82163083.000000000000000,FRANKLIN,NH 3A (HILL RD) NORTH OF GRIFFIN RD (SB-NB) (81163024-81163025)
120,CNTR:163084,163084,0,0,3854,3854,82163084,82,82163084,2015,L4,2,82163084.000000000000000,FRANKLIN,LAKE SHORE DRIVE OVER SUCKER BROOK
121,CNTR:163067,163067,0,0,3855,3855,82163067,82,82163067,0, ,0,82163067.000000000000000,FRANKLIN, 
122,CNTR:163063:706,163063,0,0,3856,3856,82163063,82,82163063,2014,L4,1,82163063.000000000000000,FRANKLIN,NH 127 (NEW HAMPTON RD) NORTH OF WARD HILL RD
123,CNTR:163081:706,163081,0,0,3857,3857,82163081,82,82163081,2014,L4,1,82163081.000000000000000,FRANKLIN,BABBIT RD EAST OF NH 127
124,CNTR:163022:706,163022,0,0,3858,3858,22163022,22,22163022,2015,L4,2,22163022.000000000000000,FRANKLIN,NH 3A (HILL RD) SOUTH OF LINCOLN ST
125,CNTR:163021:706,163021,0,0,3859,3859,22163021,22,22163021,2015,L4,2,22163021.000000000000000,FRANKLIN,NH 11 (WEBSTER LAKE RD) WEST OF NH 3A
126,CNTR:163072:706,163072,0,0,3860,3860,82163072,82,82163072,0, ,0,82163072.000000000000000,FRANKLIN, 
127,CNTR:215050,215050,0,0,3861,3861,62215050,62,62215050,2015,L4,2,62215050.000000000000000,HILL,NH 3A AT FRANKLIN TL
128,CNTR:215053,215053,0,0,3862,3862,82215053,82,82215053,2015,L4,2,82215053.000000000000000,HILL,BUNKER HILL RD OVER NEEDLE SHOP BROOK
129,CNTR:215052,215052,0,0,3863,3863,82215051,82,82215051,2015,L4,2,82215051.000000000000000,HILL,MURRAY HILL RD NORTH OF CLOUGH RD
130,CNTR:403051,403051,0,0,3864,3864,82403051,82,"82403051: 81403011, 81403010",2013,L5,3,82403051.000000000000000,SANBORNTON,NH 127 (NEW HAMPTON RD) SB-NB AT FRANKLIN TL
131,CNTR:403059,403059,0,0,3865,3865,82403059,82,82403059,2013,L4,3,82403059.000000000000000,SANBORNTON,PRESCOTT RD OVER SALMON BROOK
132,CNTR:483051,483051,0,0,3869,3869,82483051,82,82483051,0, ,0,82483051.000000000000000,,
133,CNTR:011086,011086,0,0,3871,3871,82011086,82,82011086,0, ,0,82011086.000000000000000,ALTON, 
134,CNTR:011089,011089,0,0,3872,3872,82011089,82,82011089,2015,L6,2,82011089.000000000000000,ALTON,NEW DURHAM RD NORTH OF NH 11/28
135,CNTR:011082,011082,0,0,3873,3873,82011082,82,82011082,2015,L4,2,82011082.000000000000000,ALTON,NH 28A (EAST SIDE DR) SOUTH OF FALLS BROOK
136,CNTR:011074,011074,0,0,3874,3874,82011074,82,82011074,0, ,0,82011074.000000000000000,ALTON, 
137,CNTR:011090,011090,0,0,3875,3875,82011090,82,82011090,2015,L4,2,82011090.000000000000000,ALTON,NH 11 (MAIN ST) OVER MERRYMEETING RIVER
138,CNTR:011087,011087,0,0,3876,3876,82011087,82,82011087,0, ,0,82011087.000000000000000,ALTON, 
139,CNTR:011054,011054,0,0,3877,3877,82011054,82,82011054,0, ,0,82011054.000000000000000,ALTON, 
140,CNTR:011081,011081,0,0,3878,3878,82011081,82,82011081,2014,L4,1,82011081.000000000000000,ALTON,NH 11 (MAIN ST) NORTH OF NH 140
141,CNTR:011083,011083,0,0,3879,3879,82011083,82,82011083,2014,L4,1,82011083.000000000000000,ALTON,NH 140 (FRANK C GILMAN HWY) WEST OF MOONEY ST
142,CNTR:011084,011084,0,0,3880,3880,22011084,22,22011084,2015,L4,2,22011084.000000000000000,ALTON,NH 28 (WOLFEBORO HWY) NORTH OF NH 11
143,CNTR:011088,011088,0,0,3881,3881,82011088,82,82011088,0, ,0,82011088.000000000000000,ALTON, 
144,CNTR:011055,011055,0,0,3882,3882,82011055,82,82011055,2014,L4,1,82011055.000000000000000,ALTON,ALTON MOUNTAIN RD AT WATSON BROOK
145,CNTR:039058,039058,0,0,3883,3883,82039058,82,82039058,2015,L4,2,82039058.000000000000000,BELMONT,UNION RD OVER DURGIN BROOK
146,CNTR:039057,039057,0,0,3884,3884,82039057,82,82039057,0, ,0,82039057.000000000000000,BELMONT, 
147,CNTR:039064,039064,0,0,3885,3885,82039064,82,82039064,2015,L4,2,82039064.000000000000000,BELMONT,BROWN HILL RD OVER TIOGA RIVER
148,CNTR:039051,039051,0,0,3886,3886,82039051,82,82039051,2014,L4,1,82039051.000000000000000,BELMONT,NH 107 (PROVINCE RD) SOUTH OF MIDDLE ROUTE RD
149,CNTR:171055,171055,0,0,3887,3887,62171055,62,62171055,2013,L4,3,62171055.000000000000000,GILMANTON,NH 107 (PROVINCE RD) AT BELMONT TL
150,CNTR:403052,403052,0,0,3895,3895,82403052,82,82403052,2013,L4,3,82403052.000000000000000,SANBORNTON,NH 132 (SANBORN RD) AT TILTON TL
151,CNTR:403054:SB,403054,0,0,3896,3896,81403054,81,81403054,0, ,0,81403054.000000000000000,,
152,CNTR:403055,403055,0,0,3897,3897,81403055,81,81403055,0, ,0,81403055.000000000000000,,
153,CNTR:451084,451084,0,0,3898,3898,82451084,82,82451084,2013,L4,3,82451084.000000000000000,TILTON,NH 140 (TILTON RD) OVER WINNIPESAUKEE RIVER
154,CNTR:451079,451079,0,0,3899,3899,82451079,82,"82451079: 81451022, 81451023",0, ,0,82451079.000000000000000,TILTON, 
155,CNTR:451070,451070,0,0,3900,3900,81451070,81,81451070,0, ,0,81451070.000000000000000,TILTON, 
156,CNTR:451077,451077,0,0,3901,3901,82451077,82,82451077,2015,L4,2,82451077.000000000000000,TILTON,SCHOOL ST SOUTH OF RANGE RD
157,CNTR:451074:SB,451074,0,0,3902,3902,62451074,62,"62451074: 61451075, 61451074",0, ,0,62451074.000000000000000,,
158,CNTR:451075:NB,451075,0,0,3903,3903,61451075,61,61451075,0, ,0,61451075.000000000000000,TILTON, 
159,CNTR:451071:SB,451071,0,0,3904,3904,81451071,81,81451071,0, ,0,81451071.000000000000000,TILTON, 
160,CNTR:451072:NB,451072,0,0,3905,3905,81451072,81,81451072,0, ,0,81451072.000000000000000,TILTON, 
161,CNTR:451011,451011,0,0,3906,3906,82451011,82,82451011,0, ,0,82451011.000000000000000,TILTON, 
162,CNTR:451012,451012,0,0,3907,3907,82451012,82,82451012,0, ,0,82451012.000000000000000,TILTON, 
163,CNTR:451078,451078,0,0,3908,3908,82451078,82,82451078,0, ,0,82451078.000000000000000,TILTON, 
164,CNTR:451073,451073,0,0,3909,3909,82451073,82,"82451073: 81451091, 81451092",2013,L5,3,82451073.000000000000000,TILTON,US 3/NH 11 (LACONIA RD) SB-NB SOUTH OF BROOK RD
165,CNTR:451069,451069,0,0,3910,3910,82451069,82,82451069,2015,L4,2,82451069.000000000000000,TILTON,SILVER LAKE RD OVER WINNIPESAUKEE RIVER
166,CNTR:451081,451081,0,0,3911,3911,82451081,82,82451081,2013,L4,3,82451081.000000000000000,TILTON,RIVER RD UNDER STATE OF NH RAILROAD
167,CNTR:02:011001,011001,0,0,3917,3917,02011001,02,02011001,0, ,0,2011001.000000000000000,,
168,CNTR:02:451001,451001,0,0,3919,3919,02451001,02,2451001,0, ,0,2451001.000000000000000,,
169,CNTR:011070,011070,0,0,3920,3920,82011070,82,82011070,0, ,0,82011070.000000000000000,ALTON, 
170,CNTR:011072,011072,0,0,3921,3921,82011072,82,82011072,2013,L4,3,82011072.000000000000000,ALTON,NH 28 (WOLFEBORO HWY) WEST OF NH 28A
171,CNTR:011071,011071,0,0,3922,3922,82011071,82,82011071,0, ,0,82011071.000000000000000,ALTON, 
172,CNTR:011053,011053,0,0,3923,3923,82011053,82,"82011053: 81011014, 81011013",2013,L5,3,82011053.000000000000000,ALTON,NH 28 (WOLFEBORO HWY) SB-NB AT HURD BROOK
173,CNTR:039062,039062,0,0,3924,3924,82039062,82,82039062,0, ,0,82039062.000000000000000,BELMONT, 
174,CNTR:039048,039048,0,0,3925,3925,82039048,82,82039048,2013,L4,3,82039048.000000000000000,BELMONT,NH 11A (COURT ST) AT LACONIA TL
175,CNTR:039049,039049,0,0,3926,3926,82039049,82,82039049,0, ,0,82039049.000000000000000,BELMONT, 
